id,v_1X,v_1Y,v_2X,v_2Y,v_3X,v_3Y
0,447.0,18.0,498.0,86.0,449.0,125.0
1,487.0,150.0,449.0,125.0,498.0,86.0
2,449.0,125.0,487.0,150.0,407.0,164.0
3,407.0,164.0,435.0,200.0,487.0,150.0
4,435.0,200.0,487.0,150.0,501.0,276.0
5,309.0,260.0,501.0,276.0,435.0,200.0
6,267.0,386.0,328.0,322.0,367.0,410.0
7,309.0,260.0,435.0,200.0,407.0,164.0
8,309.0,260.0,501.0,276.0,449.0,356.0
9,367.0,410.0,449.0,356.0,309.0,260.0
10,367.0,410.0,449.0,356.0,419.0,404.0
11,419.0,404.0,534.0,411.0,449.0,356.0
12,449.0,356.0,501.0,276.0,534.0,411.0
